"","ymd","ym","year","code","addr_1","aptNm","jusoJibun","price","conYear","area","floor","py","cnt"
"4489",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계1차현대아파트","서울특별시 노원구 상계동 1055 상계1차현대아파트",60000,1993,84,12,2357,1
"4490",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계2차중앙하이츠","서울특별시 노원구 상계동 1282 상계2차중앙하이츠",63000,1998,60,8,3465,1
"4491",2021-01-07,2021-01-01,"2021","11350","서울_노원","불암현대","서울특별시 노원구 상계동 1293 불암현대",67000,1999,85,8,2601,1
"4492",2021-01-07,2021-01-01,"2021","11350","서울_노원","불암현대","서울특별시 노원구 상계동 1293 불암현대",72000,1999,114,11,2084,1
"4493",2021-01-07,2021-01-01,"2021","11350","서울_노원","불암현대","서울특별시 노원구 상계동 1293 불암현대",49000,1999,59,13,2741,1
"4494",2021-01-07,2021-01-01,"2021","11350","서울_노원","벽산","서울특별시 노원구 상계동 173-1 벽산",38200,1989,47,8,2682,1
"4495",2021-01-07,2021-01-01,"2021","11350","서울_노원","벽산","서울특별시 노원구 상계동 173-1 벽산",63000,1989,75,7,2772,1
"4496",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계주공16","서울특별시 노원구 상계동 624 상계주공16",58000,1988,59,15,3244,1
"4497",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계주공14","서울특별시 노원구 상계동 626 상계주공14",58000,1989,59,1,3244,1
"4498",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계주공13","서울특별시 노원구 상계동 637 상계주공13",52000,1989,50,13,3432,1
"4499",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",66000,1988,58,7,3755,1
"4500",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계주공9","서울특별시 노원구 상계동 670 상계주공9",58500,1988,50,4,3861,1
"4501",2021-01-08,2021-01-01,"2021","11350","서울_노원","동아불암","서울특별시 노원구 상계동 1285 동아불암",62000,1999,85,14,2407,1
"4502",2021-01-08,2021-01-01,"2021","11350","서울_노원","상계주공5","서울특별시 노원구 상계동 721 상계주공5",65000,1987,32,4,6703,1
"4503",2021-01-08,2021-01-01,"2021","11350","서울_노원","보람1단지","서울특별시 노원구 상계동 639 보람1단지",50000,1988,44,9,3750,1
"4504",2021-01-08,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",68000,1988,58,4,3869,1
"4505",2021-01-08,2021-01-01,"2021","11350","서울_노원","대망드림힐1","서울특별시 노원구 상계동 1304 대망드림힐1",63800,2003,85,11,2477,1
"4506",2021-01-08,2021-01-01,"2021","11350","서울_노원","상계주공2","서울특별시 노원구 상계동 740 상계주공2",44500,1987,32,15,4589,1
"4507",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공7","서울특별시 노원구 상계동 691 상계주공7",63000,1988,50,8,4158,1
"4508",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",84000,1988,67,13,4137,1
"4509",2021-01-09,2021-01-01,"2021","11350","서울_노원","상계주공7","서울특별시 노원구 상계동 691 상계주공7",61000,1988,46,12,4376,1
